Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	18.151241	34.2112	140.32434	-21.352411	163.14285	2.4667673	6.665209	20.136087	-22.618942	308000	-6.437302e-09	217.1616	-0.014823173	-42.799362	0.6840721	0.015086609	0.2675	10.0	327.89099383354187
77	20.33162	21.775127	80.610725	-2.5720112	234.64706	0.92624867	6.438446	22.582867	-22.21804	312000	1.0967255e-08	101.04106	-0.014950853	-41.082584	0.6807056	0.015545153	0.2165	9.0	331.8534059524536
78	10.507819	22.42471	78.75807	-39.92298	189.80952	6.154554	5.227109	21.125454	-19.93834	316000	8.106232e-09	173.77975	-0.012733216	-60.434288	0.67836094	0.015755374	0.2365	7.0	335.4837439060211
79	5.803628	36.30021	61.77767	-65.04105	246.25	-0.07044968	5.427851	20.830084	-20.46014	320000	4.2915342e-09	203.0961	-0.01398129	-56.24727	0.67635345	0.016875606	0.2485	8.0	340.2165174484253
80	18.92636	25.315182	98.24077	-18.207603	118.80645	3.49531	6.6536317	21.469585	-18.54005	324000	-2.0980835e-08	163.91756	-0.011440598	-40.698807	0.67405987	0.015117835	0.182	6.0	344.556268453598
81	24.347569	28.177597	76.819	-16.851196	199.6	4.8725715	6.1647325	22.611586	-15.8171	328000	-8.523465e-09	163.73466	-0.010538594	-33.74559	0.6724184	0.015666148	0.259	8.0	348.7341105937958
82	3.0376163	26.551283	44.599262	-55.449326	189.09525	3.7258365	4.795603	21.359976	-18.888311	332000	-2.336502e-08	204.56131	-0.04394424	-70.511826	0.6704688	0.015012652	0.206	55.0	353.3757634162903
83	24.66288	32.04353	78.44352	-56.343838	245.625	1.7392492	6.2118235	20.692566	-26.025976	336000	-2.861023e-09	150.24168	-0.013521813	-60.17591	0.6565721	0.015052869	0.211	9.0	357.02586364746094
84	14.90294	32.258957	91.78869	-75.96423	118.703705	6.0493336	7.1711	22.272577	-18.59089	340000	1.6331672e-08	248.62303	-0.014917567	-58.171265	0.6546194	0.015817424	0.231	7.0	361.2304379940033
85	30.135817	36.449585	109.20728	-9.884793	268.23077	4.251329	6.698323	22.162827	-25.511528	344000	2.6226044e-08	117.87769	-0.014129519	-48.029312	0.6526564	0.016676933	0.2465	7.0	364.8434751033783
86	26.245876	35.663784	132.27692	-41.398552	171.04347	7.640448	5.075127	21.76134	-20.182262	348000	9.536744e-10	208.1606	-0.010595592	-37.358337	0.6507588	0.016621405	0.25325	7.0	368.5697612762451
87	39.973312	74.34845	259.9141	-7.616556	311.18182	5.996039	4.2143326	21.495789	-16.14331	352000	1.1205673e-08	181.66562	-0.013559036	-49.149155	0.6488056	0.015624134	0.21425	7.0	372.2250883579254
88	39.11898	40.591843	117.733406	-6.479566	208.66667	9.188528	7.2447534	28.6702	-19.269146	356000	1.525879e-08	160.70738	-0.0141171785	-40.69593	0.64642084	0.017796747	0.2405	7.0	375.9196436405182
